// 3目标 + 新拥挤距离 + fix/priori/assemble
start:
Enemy Loss average: 	249.5	Enemy Loss best: 	310	My Team Loss average: 	65.86	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	249.2	Enemy Loss best: 	310	My Team Loss average: 	64.42	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	249.2	Enemy Loss best: 	310	My Team Loss average: 	64.42	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250.9	Enemy Loss best: 	310	My Team Loss average: 	66.44	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	251	Enemy Loss best: 	310	My Team Loss average: 	66.4	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250.7	Enemy Loss best: 	310	My Team Loss average: 	65.18	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	250.9	Enemy Loss best: 	310	My Team Loss average: 	65.44	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	251.3	Enemy Loss best: 	310	My Team Loss average: 	65.12	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	251.5	Enemy Loss best: 	310	My Team Loss average: 	65.76	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	251.1	Enemy Loss best: 	310	My Team Loss average: 	64.48	My Team Loss best: 	0	 average: 	300	 best: 	300	

Enemy Loss average: 	100.6	Enemy Loss best: 	210	My Team Loss average: 	174.76	My Team Loss best: 	103	 average: 	300	 best: 	300	
Enemy Loss average: 	107.9	Enemy Loss best: 	210	My Team Loss average: 	168.86	My Team Loss best: 	103	 average: 	300	 best: 	300	
Enemy Loss average: 	109.5	Enemy Loss best: 	245	My Team Loss average: 	157.44	My Team Loss best: 	90	 average: 	300	 best: 	300	
Enemy Loss average: 	116.3	Enemy Loss best: 	320	My Team Loss average: 	153.2	My Team Loss best: 	90	 average: 	300	 best: 	300	
Enemy Loss average: 	128.4	Enemy Loss best: 	340	My Team Loss average: 	150.88	My Team Loss best: 	90	 average: 	300	 best: 	300	
Enemy Loss average: 	131.7	Enemy Loss best: 	340	My Team Loss average: 	141.88	My Team Loss best: 	87	 average: 	300	 best: 	300	
Enemy Loss average: 	171.5	Enemy Loss best: 	370	My Team Loss average: 	146.52	My Team Loss best: 	82	 average: 	300	 best: 	300	
Enemy Loss average: 	187.4	Enemy Loss best: 	370	My Team Loss average: 	145.42	My Team Loss best: 	82	 average: 	300	 best: 	300	
Enemy Loss average: 	186.1	Enemy Loss best: 	370	My Team Loss average: 	141.88	My Team Loss best: 	82	 average: 	300	 best: 	300	
Enemy Loss average: 	194.1	Enemy Loss best: 	370	My Team Loss average: 	143.92	My Team Loss best: 	74	 average: 	300	 best: 	300	
Enemy Loss average: 	193.2	Enemy Loss best: 	370	My Team Loss average: 	140	My Team Loss best: 	74	 average: 	300	 best: 	300	
Enemy Loss average: 	194.5	Enemy Loss best: 	370	My Team Loss average: 	138.72	My Team Loss best: 	74	 average: 	300	 best: 	300	
Enemy Loss average: 	219.6	Enemy Loss best: 	370	My Team Loss average: 	144.06	My Team Loss best: 	74	 average: 	300	 best: 	300	
Enemy Loss average: 	213.2	Enemy Loss best: 	370	My Team Loss average: 	134.46	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	214.1	Enemy Loss best: 	370	My Team Loss average: 	134.02	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	209.1	Enemy Loss best: 	370	My Team Loss average: 	129.74	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	217.6	Enemy Loss best: 	370	My Team Loss average: 	131.88	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	206.3	Enemy Loss best: 	370	My Team Loss average: 	126.36	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	198.7	Enemy Loss best: 	370	My Team Loss average: 	116.5	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	190.8	Enemy Loss best: 	370	My Team Loss average: 	112.16	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	193.9	Enemy Loss best: 	370	My Team Loss average: 	110.3	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	194.6	Enemy Loss best: 	370	My Team Loss average: 	107.64	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	194.5	Enemy Loss best: 	370	My Team Loss average: 	106.2	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	196.2	Enemy Loss best: 	380	My Team Loss average: 	104.34	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	206.2	Enemy Loss best: 	385	My Team Loss average: 	105.78	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	214.6	Enemy Loss best: 	385	My Team Loss average: 	107.22	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	222.5	Enemy Loss best: 	385	My Team Loss average: 	108.88	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	215.2	Enemy Loss best: 	385	My Team Loss average: 	102.32	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	204.4	Enemy Loss best: 	385	My Team Loss average: 	98.18	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	196.1	Enemy Loss best: 	385	My Team Loss average: 	95.34	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	253.8	Enemy Loss best: 	385	My Team Loss average: 	109.48	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	251.9	Enemy Loss best: 	385	My Team Loss average: 	108.84	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	236.3	Enemy Loss best: 	385	My Team Loss average: 	101.74	My Team Loss best: 	58	 average: 	300	 best: 	300	
Enemy Loss average: 	248.9	Enemy Loss best: 	385	My Team Loss average: 	103.2	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	268.1	Enemy Loss best: 	385	My Team Loss average: 	107	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	280.5	Enemy Loss best: 	385	My Team Loss average: 	108.94	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	287	Enemy Loss best: 	395	My Team Loss average: 	106.74	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	280.8	Enemy Loss best: 	395	My Team Loss average: 	104.04	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	276.2	Enemy Loss best: 	395	My Team Loss average: 	104.4	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	286	Enemy Loss best: 	395	My Team Loss average: 	106.34	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	284.7	Enemy Loss best: 	395	My Team Loss average: 	105.96	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	288.6	Enemy Loss best: 	395	My Team Loss average: 	108.4	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	292.4	Enemy Loss best: 	395	My Team Loss average: 	109.72	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	299.6	Enemy Loss best: 	395	My Team Loss average: 	112.7	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	291.9	Enemy Loss best: 	395	My Team Loss average: 	109.52	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	286.7	Enemy Loss best: 	395	My Team Loss average: 	107.92	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	280.9	Enemy Loss best: 	395	My Team Loss average: 	105.74	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	280.8	Enemy Loss best: 	405	My Team Loss average: 	105	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	266.9	Enemy Loss best: 	405	My Team Loss average: 	98.18	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	267.8	Enemy Loss best: 	405	My Team Loss average: 	98.38	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	268.1	Enemy Loss best: 	405	My Team Loss average: 	98.48	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	268.4	Enemy Loss best: 	405	My Team Loss average: 	98.42	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	257	Enemy Loss best: 	405	My Team Loss average: 	94.76	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	258.4	Enemy Loss best: 	405	My Team Loss average: 	96.08	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	253.1	Enemy Loss best: 	405	My Team Loss average: 	96.82	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	252.4	Enemy Loss best: 	405	My Team Loss average: 	96.5	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	240.3	Enemy Loss best: 	405	My Team Loss average: 	93.08	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	228.6	Enemy Loss best: 	405	My Team Loss average: 	89.52	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	213.5	Enemy Loss best: 	405	My Team Loss average: 	84.78	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	203.3	Enemy Loss best: 	405	My Team Loss average: 	84.12	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	185.2	Enemy Loss best: 	405	My Team Loss average: 	78.18	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	210.2	Enemy Loss best: 	405	My Team Loss average: 	85.82	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	222.4	Enemy Loss best: 	405	My Team Loss average: 	89.02	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	239.6	Enemy Loss best: 	405	My Team Loss average: 	94.06	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	237.3	Enemy Loss best: 	405	My Team Loss average: 	93.1	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	244.1	Enemy Loss best: 	405	My Team Loss average: 	93.7	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	239.9	Enemy Loss best: 	405	My Team Loss average: 	91.7	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	231.8	Enemy Loss best: 	405	My Team Loss average: 	88.84	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	249.9	Enemy Loss best: 	405	My Team Loss average: 	95.2	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	249.7	Enemy Loss best: 	405	My Team Loss average: 	94.16	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	255.6	Enemy Loss best: 	405	My Team Loss average: 	95.7	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	256.2	Enemy Loss best: 	405	My Team Loss average: 	95.7	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	230.4	Enemy Loss best: 	405	My Team Loss average: 	86.94	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	247.3	Enemy Loss best: 	405	My Team Loss average: 	91.04	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	247.3	Enemy Loss best: 	405	My Team Loss average: 	91.04	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	254.4	Enemy Loss best: 	405	My Team Loss average: 	91.8	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	253.4	Enemy Loss best: 	405	My Team Loss average: 	94.22	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	251.5	Enemy Loss best: 	405	My Team Loss average: 	92.32	My Team Loss best: 	45	 average: 	300	 best: 	300	
Enemy Loss average: 	260.2	Enemy Loss best: 	410	My Team Loss average: 	95.86	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	274.6	Enemy Loss best: 	410	My Team Loss average: 	98.12	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	274.8	Enemy Loss best: 	410	My Team Loss average: 	98.06	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	277.2	Enemy Loss best: 	410	My Team Loss average: 	98.28	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	279.6	Enemy Loss best: 	410	My Team Loss average: 	98.5	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	284.6	Enemy Loss best: 	410	My Team Loss average: 	99.46	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	281.2	Enemy Loss best: 	410	My Team Loss average: 	97.98	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	282.8	Enemy Loss best: 	410	My Team Loss average: 	99.14	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	287	Enemy Loss best: 	410	My Team Loss average: 	100.1	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	289.3	Enemy Loss best: 	410	My Team Loss average: 	99.78	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	295.8	Enemy Loss best: 	410	My Team Loss average: 	102.64	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	293.5	Enemy Loss best: 	410	My Team Loss average: 	102.42	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	277.7	Enemy Loss best: 	410	My Team Loss average: 	97.44	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	275.9	Enemy Loss best: 	410	My Team Loss average: 	97.22	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	277.9	Enemy Loss best: 	410	My Team Loss average: 	97.48	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	292.8	Enemy Loss best: 	410	My Team Loss average: 	103.66	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	288.7	Enemy Loss best: 	410	My Team Loss average: 	103.04	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	283.2	Enemy Loss best: 	410	My Team Loss average: 	99.74	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	266.9	Enemy Loss best: 	410	My Team Loss average: 	93.58	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	270.1	Enemy Loss best: 	410	My Team Loss average: 	93.42	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	265.8	Enemy Loss best: 	410	My Team Loss average: 	92.88	My Team Loss best: 	42	 average: 	300	 best: 	300	
Enemy Loss average: 	260.4	Enemy Loss best: 	410	My Team Loss average: 	90.14	My Team Loss best: 	42	 average: 	300	 best: 	300	
